Title,Paragraph
[2024] SGHC 135,"Para 61
The email evidence in Mr Kang’s AEIC shows the following.
(a)
On 19 March 2014 the liquidator’s firm, Foo Kon Tan Grant 
Thornton LLP (“FKT”) sent Mr Ng an email saying that Panshore was 
not allowed access to the Premises with effect from that day.35 
(b)
Panshore had discussions with the liquidator and agreed to place 
a deposit of $150,000 in order to remove items from the Premises. Mr 
Kang exhibits emails exchanged with the liquidator from 26 March to 2 
April 2014, with details as follows.36 
(i)
Mr Ng wrote an email on behalf of Panshore to the 
liquidator on 26 March 2014. Mr Ng referred to earlier emails of"
[2024] SGHC 135,"Para 21
March 2014 requesting the removal of Panshore’s items, the 
liquidator’s email response the same day, and their telephone"
[2024] SGHC 135,"Para 34
Liquidator’s Affidavit at [20]."
[2024] SGHC 135,"Para 35
Kang’s AEIC at [46], see also Tab 4 at p 39."
[2024] SGHC 135,"Para 36
Kang’s AEIC at [47], see also Tab 5 at p 41–54. 
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 20
discussion later that day. Mr Ng attached a list of the assets, 
equipment, machinery, material, furniture, and other assets 
belonging to Panshore that was retained by the liquidator at the 
Premises. Mr Ng asked to know “when we can remove all of our 
items” [emphasis added] from the Premises.37
(ii)
On 2 April 2014, Mr Ng sent a further email to the 
liquidator, attaching “the list of items we would like to take 
out”.38
(iii)
Later on 2 April 2014, the liquidator replied to Mr Ng to 
say, “[w]e are agreeable to you removing the items in the 
attached files from the Company’s premises subject to you 
paying us a sum of $150,000. Please prepare a cheque for the 
sum made payable to “Official Receiver”. We will use the sum 
to apply towards the payment of outstanding rental that we will 
be claiming against Panshore.” The liquidator concluded, “Once 
we receive your cheque, we will give instructions for the release 
of the items to you.”39"
[2024] SGHC 135,"Para 62
The emails above show that Panshore told the liquidator it wished to 
remove all of its items, Panshore listed what it wished to remove, and the 
liquidator agreed to the removal of whichever of its items Panshore said it 
wished to remove from the Premises. The emails do not bear out Panshore’s"
[2024] SGHC 135,"Para 37
Kang’s AEIC at Tab 5, pp 41–46."
[2024] SGHC 135,"Para 38
Kang’s AEIC at Tab 5, pp 47–52."
[2024] SGHC 135,"Para 39
Kang’s AEIC at Tab 5, p 53. 
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 21
allegation that, in breach of his duties as liquidator, the liquidator had 
wrongfully refused to allow Panshore to remove its assets from the Premises."
[2024] SGHC 135,"Para 63
Furthermore, if in April 2014 Panshore considered that it stood to lose 
hundreds of thousands of dollars in assets because of the liquidator’s wrongful 
conduct, why did it not promptly raise this with the liquidator, while the 
Premises were still under the liquidator’s control? Panshore left the Premises in 
April 2014, the JTC lease would expire at the end of 2015, yet Panshore only 
brought a claim against the liquidator for the supposed detention of its assets at 
the Premises on 5 February 2016, after the Premises had been returned to JTC. 
This is unreasonable conduct on Panshore’s part which breaks the chain of 
causation; moreover this makes any loss from Panshore not being able to 
retrieve its assets too remote to be recovered from Roland."
[2024] SGHC 135,"Para 64
In the circumstances, Panshore’s claim for the value of its assets left 
behind at the Premises fails not only because Roland’s breach did not cause Asia 
Link to be wound up, but also because:
(a)
Panshore should have vacated the Premises and removed all its 
assets by the end of February 2013;
(b)
if Panshore were right that the liquidator had wrongfully 
prevented it from removing its assets, that would be a break in the chain 
of causation, and such loss would be too remote to recover from Roland;
(c)
Panshore has failed to prove that the liquidator prevented it from 
removing its assets; and
(d)
Panshore failed to take reasonable steps to retrieve its assets 
before the Premises were returned to JTC.
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 22
Conclusion"
[2024] SGHC 135,"Para 65
For the above reasons, I find that Panshore has failed to prove any loss 
that (a) was caused by Roland’s breach, and (b) is not too remote. It follows that 
Panshore is not entitled to substantial damages against Roland. I thus only award 
Panshore nominal damages of $10."
[2024] SGHC 135,"Para 66
In my judgment on liability, I reserved costs to this assessment stage. I 
had then observed that although Panshore had succeeded on liability for one of 
its claims (breach of contract by Roland), Panshore had failed on its other claim; 
moreover, it had yet to be determined whether Panshore would be awarded 
substantial or nominal damages. In the event, Panshore has only obtained 
nominal damages."
[2024] SGHC 135,"Para 67
The parties are to file their submissions on costs, limited to ten pages 
(excluding any schedule of disbursements), within 21 days. Panshore is 
represented by lawyers and could seek legal costs. Roland is now self-
represented, but he was represented by lawyers earlier in these proceedings – he 
could seek legal costs for the period that he was represented by lawyers, and for 
the period that he has been self-represented he could seek compensatory costs 
pursuant to O 59 r 18A of the Rules of Court 2014, ie, such costs as would 
reasonably compensate him for the time expended by him, together with all 
expenses reasonably incurred.
Andre Maniam
Judge of the High Court
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 23
The second plaintiff in person;
Low Peter Cuthbert, Low Ying Ning Elaine (Liu Yingning) and 
Nelson Chee (Peter Low Chambers LLC) for the defendant.
Version No 1: 24 May 2024 (12:12 hrs)"
